38,38,38,23,38,38,38,38,38,38,38,38,38,23,38,38,38,38,38,38,38,38,23,38,38
23,38,20,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,21,38,38
38,38,24,16,16,15,0,16,16,0,16,15,0,16,16,15,0,16,15,15,0,15,22,38,38
38,38,24,16,16,16,16,16,0,16,15,16,15,0,15,16,32,33,33,34,15,0,22,38,38
38,38,24,16,16,16,0,16,0,16,16,16,16,16,16,32,41,38,38,40,34,16,22,38,38
38,38,24,16,15,0,15,16,15,16,15,15,0,0,16,37,38,38,38,38,39,15,22,38,38
38,23,24,16,0,15,15,15,0,15,16,16,15,15,0,37,38,38,38,38,39,15,22,38,38
38,38,24,0,16,15,15,0,0,15,16,0,16,15,16,42,36,38,35,43,44,0,22,38,38
38,38,24,15,0,15,15,0,0,0,15,0,15,16,16,16,42,43,44,16,15,15,22,38,38
38,38,24,15,0,16,16,0,16,16,16,0,15,15,0,0,16,16,16,16,16,16,22,38,38
38,38,24,16,15,15,0,16,0,2,3,3,3,4,0,0,16,16,15,0,15,0,22,38,38
38,38,24,2,3,3,3,3,3,11,1,8,8,10,3,3,3,3,3,3,3,4,22,38,38
23,38,24,7,1,1,1,1,1,1,8,1,1,1,1,1,1,1,1,1,1,9,22,38,38
38,38,24,12,13,13,13,13,13,6,8,1,1,5,13,13,13,13,13,13,13,14,22,38,38
38,38,24,16,16,0,16,15,16,12,13,13,13,14,16,16,16,16,0,16,15,16,22,38,23
38,38,24,16,16,16,15,15,0,15,15,16,16,16,0,16,15,15,16,16,15,16,22,38,38
38,23,24,16,16,0,15,16,15,16,0,16,0,16,0,15,16,16,16,16,16,16,22,38,38
38,38,24,15,16,15,16,0,16,15,0,16,16,15,16,16,16,16,15,16,15,16,22,38,38
38,38,24,16,15,15,16,15,16,16,0,16,0,15,15,0,0,15,0,16,0,16,22,38,38
38,23,24,16,16,16,16,16,16,0,16,15,16,16,16,16,16,16,15,16,15,16,22,38,38
38,38,24,16,0,16,15,0,15,16,16,15,0,15,15,16,16,0,16,0,15,16,22,38,38
38,38,24,0,0,16,16,16,16,15,0,15,15,15,0,15,16,15,0,16,16,16,22,38,38
38,38,24,16,16,16,16,16,0,15,16,16,16,16,16,16,16,16,16,15,16,16,22,38,38
38,38,25,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,26,38,38
38,23,38,38,38,38,38,38,38,38,38,38,38,38,38,23,38,38,38,38,38,38,38,38,38
